"","sample","compound","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_auc","rel_fit"
"1","BY4743","DMSO",0.613,6.55707012016199e-05,17368.5770540361,3.35376285570879,80567.718125,0.850736167120698
"2","CONTROL","DMSO",0.00325,7.61150872530908e-07,96264.780966786,549.346936349982,313.520625,0.00331054845579674
"3","S6-113","DMSO",0.541,5.05087152649696e-05,19478.9801079293,4.51903873468183,73206.7475,0.773009701961479
"4","S6-14","DMSO",0.509,2.6092529108363e-05,22663.1830053448,7.4126525893796,69716.130875,0.736151343830584
"5","S6-45","DMSO",0.5585,3.32297602295085e-05,24405.8773226445,5.82459356008894,74970.441375,0.791633019117661
"6","U5-05","DMSO",0.3765,2.35936089983565e-05,55515.2918033987,8.31179778367109,39340.44825,0.415406355496992
"7","W-34/70","DMSO",0.61075,4.64022207418941e-05,16447.7229198966,4.61152240416959,79310.604625,0.837461968154725
"8","WLP-644","DMSO",0.42175,1.58358579647109e-05,35131.7524555774,12.1900973251224,51579.406125,0.544640797708385
"9","BY4743","ETOH",0.70375,4.34333944758039e-05,25961.9303031619,4.61760838314776,91447.130875,0.867882425479588
"10","CONTROL","ETOH",0.005,5.22078968576686e-07,72564.5728656243,75913.6485869898,325.272625,0.00308701204757303
"11","S6-113","ETOH",0.58375,4.76368715326383e-05,26776.2495937118,4.09034677514394,77574.892,0.736227422129903
"12","S6-14","ETOH",0.52625,5.82214859226177e-05,29594.1582258088,3.51038445081395,69464.006,0.659250754331647
"13","S6-45","ETOH",0.7145,5.74995741137461e-05,27868.6254113746,3.45670848494638,64722.484875,0.614251170254454
"14","U5-05","ETOH",0.3865,2.20614065040977e-05,38115.4401195757,13.8029086167794,42626.664375,0.404549957050573
"15","W-34/70","ETOH",0.682,3.97786607596041e-05,24412.165077154,5.08752641199616,89838.118875,0.852612036744324
"16","WLP-644","ETOH",0.44175,1.94501555521857e-05,36014.6391602571,12.3487504738915,51464.5605,0.488426341708132
"17","BY4743","H2O",0.66975,7.97335270346986e-05,14488.0663670592,2.42847190185844,89765.683875,0.860391889393351
"18","CONTROL","H2O",0.00325,2.5323203310651e-07,140936.309945253,1437.65364181961,182.12125,0.00174560744843631
"19","S6-113","H2O",0.582,7.10462687263025e-05,14410.793927613,2.76097191676404,80648.27625,0.773002775489125
"20","S6-14","H2O",0.53825,5.42237987210431e-05,18801.3376917858,4.14169547839749,73568.271,0.705141886661665
"21","S6-45","H2O",0.57975,4.4584018688218e-05,23368.3999457611,4.44695305694205,78111.872,0.748691685206989
"22","U5-05","H2O",0.4155,2.66645137245614e-05,35378.1358577464,7.41007323379856,48859.3555,0.468310287166365
"23","W-34/70","H2O",0.68625,6.96682070716083e-05,13544.3431773021,2.77335446061563,94964.75475,0.910224277675049
"24","WLP-644","H2O",0.456,4.01120549555787e-05,20798.4944455316,5.89516756216882,58266.593625,0.558477387052919
