compound,1,2,3,4,5,6,7,8,9,10,11,12
A,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
B,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
C,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
D,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
E,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
F,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
G,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
H,H2O,H2O,H2O,H2O,ETOH,ETOH,ETOH,ETOH,DMSO,DMSO,DMSO,DMSO
,,,,,,,,,,,,
strain,1,2,3,4,5,6,7,8,9,10,11,12
A,BY4743,BY4743,BY4743,BY4743,BY4743,BY4743,BY4743,BY4743,BY4743,BY4743,BY4743,BY4743
B,S6-14,S6-14,S6-14,S6-14,S6-14,S6-14,S6-14,S6-14,S6-14,S6-14,S6-14,S6-14
C,S6-45,S6-45,S6-45,S6-45,S6-45,S6-45,S6-45,S6-45,S6-45,S6-45,S6-45,S6-45
D,S6-113,S6-113,S6-113,S6-113,S6-113,S6-113,S6-113,S6-113,S6-113,S6-113,S6-113,S6-113
E,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644,WLP-644
F,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70,W-34/70
G,U5-05,U5-05,U5-05,U5-05,U5-05,U5-05,U5-05,U5-05,U5-05,U5-05,U5-05,U5-05
H,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL
